hex code,emoji_code,emoji
&#x1f339;,\U0001F339,🌹
&#x1f346;,\U0001F346,🍆
&#x1f399;,\U0001F399,🎙️
&#x1f3c1;,\U0001F3C1,🏁
&#x1f42e;,\U0001F42E,🐮
&#x1f433;,\U0001F433,🐳
&#x1f437;,\U0001F437,🐷
&#x1f441;,\U0001F441,👁️
&#x1f444;,\U0001F444,👄
&#x1f445;,\U0001F445,👅
&#x1f447;,\U0001F447,👇
&#x1f44d;,\U0001F44D,👍
&#x1f47f;,\U0001F47F,👿
&#x1f48b;,\U0001F48B,💋
&#x1f493;,\U0001F493,💓
&#x1f496;,\U0001F496,💖
&#x1f4a6;,\U0001F4A6,💦
&#x1f4a9;,\U0001F4A9,💩
&#x1f4aa;,\U0001F4AA,💪
&#x1f4af;,\U0001F4AF,💯
&#x1f50b;,\U0001F50B,🔋
&#x1f51d;,\U0001F51D,🔝
&#x1f600;,\U0001F600,😀
&#x1f601;,\U0001F601,😁
&#x1f602;,\U0001F602,😂
&#x1f605;,\U0001F605,😅
&#x1f606;,\U0001F606,😆
&#x1f608;,\U0001F608,😈
&#x1f609;,\U0001F609,😉
&#x1f60b;,\U0001F60B,😋
&#x1f60d;,\U0001F60D,😍
&#x1f611;,\U0001F611,😑
&#x1f614;,\U0001F614,😔
&#x1f618;,\U0001F618,😘
&#x1f61a;,\U0001F61A,😚
&#x1f61c;,\U0001F61C,😜
&#x1f621;,\U0001F621,😡
&#x1f62d;,\U0001F62D,😭
&#x1f630;,\U0001F630,😰
&#x1f643;,\U0001F643,🙃
&#x1f645;,\U0001F645,🙅
&#x1f64f;,\U0001F64F,🙏
&#x1f914;,\U0001F914,🤔
&#x1f921;,\U0001F921,🤡
&#x1f923;,\U0001F923,🤣
&#x1f924;,\U0001F924,🤤
&#x1f926;,\U0001F926,🤦‍♀️
&#x1f952;,\U0001F952,🥒
&#x25b6;,:play_button:,▶
&#x2615;,:hot_beverage:,☕
&#x26a1;,:high_voltage:,⚡
&#x270a;,:raised_fist:,✊
&#x270c;,:victory_hand:,✌
&#x2753;,:red_question_mark:,❓
&#x2764;,:red_heart:,❤
&#x27a1;,:right_arrow:,➡
&#10004;,,✔️
&#10006;,,✖️
&#10024;,,✨
&#10052;,,❄
&#10060;,,❌
&#10067;,,❓
&#10068;,,❔
&#10069;,,❕
&#10071;,,❗
&#10084;,,❤
&#1040784;,,👀
&#1040788;,,👅
&#1041184;,,😠
&#1041185;,,😩
&#1041190;,,😒
&#1041191;,,😍
&#1041196;,,😘
&#1041204;,,😂
&#1041205;,,😊
&#1041210;,,😭
&#1041216;,,😔
&#1041219;,,😏
&#1041222;,,😫
&#1041223;,,😉
&#1041233;,,🙅
&#1041237;,,🙊
&#1041240;,,🙌
&#1041243;,,🙏
&#1041629;,,💰
&#1041636;,,💸
&#1041653;,,🔫
&#1041681;,,🎂
&#1042390;,,🏀
&#1042469;,,💍
&#1043214;,,💔
